Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
260429;Upakovka 0.3, pryamoug., vnesh. 124kh97kh48mm, vnutr. 115kh87kh44mm, prozrachn., OPS;5,5;0,09;0,765;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
262157;Upakovka 0.7l, vnesh. 131kh132kh62mm, vnutr. 108kh108kh58mm, prozrachn., PET;10,95;0,117;0,81;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KAShTAN GRUPP OOO
342023l;Tsvetoproba stakanov Holy Gyros;0,02;0,001;1;Oborudovanie;Oborudovanie;6. Raskhodnye materialy (prochie);;TFP OOO
88591925;Klishe dlya brendirovaniya paketov;;;1;Oborudovanie;Oborudovanie;0;dlya Mist.- KZKh;
342025l;Tsvetoproba lotkov Holy Gyros;0,02;0,001;1;Oborudovanie;Oborudovanie;;;TFP OOO
853251;Avtomobil-furgon HYUNDAI 27950C (Kh415RO199);;;1;Oborudovanie;Oborudovanie;0;;
342024l;Tsvetoproba korobok Holy Gyros;0,02;0,001;1;Oborudovanie;Oborudovanie;6. Raskhodnye materialy (prochie);;TFP OOO
260083;Kryshka d/pirozhn., kvadratn., vnesh. 90kh90kh45mm, vnutr. 80kh80kh35mm, prozrachn., PET;4,78;0,062;0,96;Upakovka dlya konditerskikh izdeliy plastikovaya pryamougolnaya (kryshka);Upakovka dlya konditerskikh izdeliy (kryshka);2. Upakovka;pod zakaz;KADO-PRIM OOO
260284;Kryshka d/pirozhnogo, pryamoug., vnesh. 153kh116kh82mm, vnutr. 130kh93kh81mm, prozrachn., PVKh;6,05;0,083;0,35;Upakovka dlya konditerskikh izdeliy plastikovaya pryamougolnaya (kryshka);Upakovka dlya konditerskikh izdeliy (kryshka);2. Upakovka;dlya RF;"FIRMA ""KORREKS"""
260078;Kryshka d/pirozhn., kvadratn., vneshn. 138kh138kh80mm, prozrachn., PET;3,78;0,077;0,3;Upakovka dlya konditerskikh izdeliy plastikovaya pryamougolnaya (kryshka);Upakovka dlya konditerskikh izdeliy (kryshka);2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
268340g;Podlozhka usilennaya zoloto/zhemchug D 220 mm ( Tolschina 1,5 mm ) (50 sht/upak);1,6;0,004;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268306b;Podlozhka usilennaya zoloto/zhemchug D 180 mm ( Tolschina 1,5 mm ) (50 sht/upak);0,4;0,04;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268342a;Podlozhka zoloto D 240 mm ( Tolschina 0,8 mm )*100 sht/upak;1,6;0,032;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268304b;Podlozhka usilennaya zoloto/zhemchug D 160 mm ( Tolschina 1,5 mm ) (50 sht/upak);0,4;0,002;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268304a;Podlozhka zoloto D 160 mm ( Tolschina 0,8 mm )*100 sht/upak;0,4;0,04;1;Podlozhki servirovochnye kruglye D do 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
218267;"Folga 29sm*10m ""Gril"" (20 mkm) v plenke";5;0,015;20;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218267/;"Folga 29sm*10m ""Gril"" (20 mkm) v plenke";5;0,015;20;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;Marketpleys Wildberries;METALLPEYPER-M OOO
218266/;"Folga 29smkh10m ""Gril"" (20 mkm) v plenke";5;0,025;20;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218266;"Folga 29smkh10m ""Gril"" (20 mkm) v plenke";5;0,025;20;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
2182666;"Folga 29smkh7m ""Gril"" (20 mkm) v plenke";5,27;0,018;35;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;;RUSAL - Sayanskaya folga OOO
218254;Folga 29smkh10m Premium (30 mkm);3,857;0,02;24;Folga 29 (30) sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
268351g/;Podlozhka usilennaya zoloto/zhemchug D 320 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,7;0,025;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268344g;Podlozhka usilennaya zoloto/serebro D 260 mm (tolschina 0,8 mm);3;0,01;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268346g;Podlozhka usilennaya zoloto D 280 mm (tolschina 2,5 mm) 10 sht/upak;3,1;0,01;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348g;Podlozhka usilennaya zoloto/serebro D 300 mm (tolschina 0,8 mm);3,1;0,016;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268348d;Podlozhka usilennaya zoloto/zhemchug D 300 mm ( Tolschina 3,2 mm ) (10 sht/upak);3;0,003;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268351e;Podlozhka usilennaya zoloto/zhemchug D 360 mm ( Tolschina 3,2 mm ) (10 sht/upak);1,8;0,025;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
268346b;Podlozhka usilennaya zoloto/serebro D 280 mm (tolschina 0,8 mm);3,1;0,007;1;Podlozhki servirovochnye kruglye D ot 250 mm;Podlozhki servirovochnye;3. Servirovka stola i tovary dlya klininga;pod zakaz;DZhIDISI EAS OOO
218220;"Folga 29smkh10m ""Universalnaya"" (11 mkm) v plenke";4;0,011;30;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218221/;"Folga 29smkh10m ""Universalnaya"" (11 mkm) v plenke";3,05;0,025;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
501320;"Komplekt ""3"" (v. krasn-n. krasn-salf 33*33)";3;0,038;0,2;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501321;"Komplekt""3""(v. prozr-n. prozr-salf)";3;0,038;0,2;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501204;"Komplekt ""2"" (v. prozr-salf)";3;0,038;0,25;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501210a;"Komplekt ""2"" (v 160 mm-salf)";2;0,043;0,4;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501311a;"Komplekt ""3"" (v-n-salf)";3;0,046;0,3;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
187890;"Komplekt ""2"" (vilka Kristall + salf)";0,45;0,006;50;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;YuMIPAK OOO
501311/;"Komplekt ""3"" (v-n-salf)";2,7;0,038;0,2;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;DIAPAZON AO
187893/;"Komplekt ""3"" (v.-n.-salf)";0,8;0,01;1;"Komplekty 3 ""Vilka+Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;snyat s prodazh;YuMIPAK OOO
501480;"Komplekt ""4"" (s/p-z/ch-salf)";4,5;0,038;0,5;"Komplekty 4 ""Salfetka+Zubochistka+Sol+Perets""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501210b;"Komplekt ""2"" (v-salf)";3,2;0,043;0,4;"Komplekty 2 ""Vilka+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
